category_id,comment_count,comments_disabled,days_since_publication,has_description,is_successful,is_sucessfull,likes_ratio,progress,publish_time,ratings_disabled,tags_quantity,title_size,video_error_or_removed
2,3812,False,5,True,False,,0.9498170630301015,152564,2017-12-14,False,23,59,False
4,27012,False,8,True,True,,0.9783379921249032,910732,2017-12-04,False,36,39,False
3,1766,False,8,True,False,,0.6763684913217624,46830,2017-11-21,False,13,66,False
2,23633,False,11,True,False,,0.9871579343875778,73376,2018-05-03,False,4,43,False
2,1217,False,9,True,False,,0.9900244193900348,40590,2017-12-19,False,19,59,False
0,781,False,5,True,False,,0.9755866767600303,5314,2018-01-29,False,25,32,False
2,1495,False,7,True,False,,0.8453098106712564,47438,2018-06-01,False,41,61,False
3,1278,False,5,True,False,,0.9218313253012048,18409,2017-12-13,False,22,43,False
4,2504,False,2,True,False,,0.9307394916509008,598146,2018-02-25,False,11,26,False
1,58,False,6,True,False,,0.9708588957055214,3930,2018-02-01,False,21,51,False
2,412,False,7,True,False,,0.9699315272402501,82903,2018-02-09,False,28,70,False
2,24,False,7,True,False,,0.8047337278106509,3416,2018-02-15,False,33,55,False
2,717,False,2,True,False,,0.8287937743190662,96454,2018-01-10,False,26,79,False
2,0,False,4,True,False,,1.0,859,2018-02-01,False,20,36,False
1,1167,False,26,True,False,,0.9432534678436317,23448,2018-05-08,False,38,41,False
3,527,False,7,True,False,,0.9737852363716135,5274,2017-11-30,False,35,51,False
4,2369,False,4,True,False,,0.9876363938098992,46177,2018-04-29,False,14,35,False
2,1232,False,1,True,False,,0.34594594594594597,102560,2018-02-20,False,1,88,False
2,1248,False,9,True,False,,0.9904268049461508,2806,2018-02-12,False,21,37,False
3,1672,False,7,True,False,,0.9459985654267855,53160,2018-01-18,False,25,44,False
2,49195,False,28,True,True,,0.9945689949695463,39131,2018-05-16,False,41,17,False
3,316,False,7,True,False,,0.8936585365853659,588,2018-02-20,False,5,40,False
2,3464,False,1,True,False,,0.9940281256020035,709569,2018-04-30,False,15,55,False
2,5875,False,5,True,True,,0.9888051882162198,796766,2018-04-27,False,38,63,False
3,16,False,7,True,False,,0.9534883720930233,3536,2018-01-18,False,19,58,False
3,373,False,5,True,False,,0.8626893939393939,86187,2018-01-14,False,40,75,False
2,1431,False,6,True,False,,0.96349302607641,24318,2018-02-23,False,12,70,False
3,624,False,6,True,False,,0.5597416576964478,9452,2017-12-11,False,30,81,False
4,2941,False,6,True,False,,0.8545574202040145,45790,2018-01-17,False,19,44,False
2,2899,False,8,True,False,,0.9437087262068722,110219,2017-12-10,False,29,21,False
3,140,False,6,True,False,,0.9884809215262779,3407,2017-11-15,False,25,54,False
4,2789,False,11,True,False,,0.97146333898022,46888,2018-02-22,False,1,11,False
3,1831,False,6,True,False,,0.9858253819425293,45718,2018-01-27,False,28,42,False
3,886,False,8,True,False,,0.9752231094410522,13790,2018-05-06,False,34,73,False
2,329,False,5,True,False,,0.9048942081641377,73321,2018-01-17,False,33,71,False
2,1128,False,2,True,False,,0.9877224530290817,187491,2017-12-02,False,13,46,False
4,225,False,6,True,False,,0.9587628865979382,21213,2017-12-02,False,5,12,False
3,2114,False,13,True,False,,0.9825475887099888,17733,2018-03-06,False,32,37,False
2,2327,False,5,True,False,,0.972257211235672,153817,2018-02-05,False,13,14,False
4,1138,False,10,True,False,,0.9545193961398816,1385,2018-04-13,False,25,64,False
1,411,False,5,True,False,,0.9576534576534577,9747,2017-12-12,False,10,49,False
2,713,False,7,True,False,,0.7381070366699702,36660,2018-02-01,False,7,65,False
0,167,False,7,True,False,,0.9759348389485376,8768,2017-11-29,False,7,99,False
2,1342,False,2,True,False,,0.9441103808325176,678543,2018-04-03,False,33,47,False
